TSTART (NuSTAR MET),TSTOP (NuSTAR MET),TPEAK (NuSTAR MET),T90 (s),FLUENCE (erg cm-2),FLUENCE_ERR (erg cm-2),HARDNESS (10-79keV/3-10keV),HARDNESS_ERR
403463706.781862,403463708.561728,403463664.89548206,0.859537,3.901e-09,6.576e-10,0.667,0.230
403463721.720566,403463722.440524,403463673.30476,1.409899,2.995e-08,2.184e-09,0.900,0.131
403463730.339816,403463731.229758,403463691.37320507,0.789952,6.897e-09,8.986e-10,0.440,0.124
403463748.138262,403463748.478252,403463700.092451,1.819863,8.720e-08,4.543e-09,0.445,0.050
403463750.528053,403463751.617978,403463708.0917591,1.779866,2.159e-08,1.632e-09,0.463,0.075
403463762.779859,403463763.017524,403463722.07054603,0.719957,1.712e-08,1.476e-09,0.638,0.112
403463781.8653,403463783.425182,403463730.3798231,0.889942,6.089e-09,8.434e-10,0.852,0.237
403463825.311451,403463827.261297,403463748.25826204,0.33999,4.332e-09,7.128e-10,0.768,0.256
403463830.321005,403463831.83089,403463751.09801304,1.089925,5.667e-08,3.253e-09,0.508,0.062
403463870.967367,403463872.647236,403463762.876981,0.237666,3.710e-09,6.476e-10,1.364,0.482
403463892.945388,403463893.705339,403463783.2351891,1.559883,6.988e-09,8.885e-10,0.322,0.096
403463899.915416,403463900.013067,403463825.391454,1.949846,6.797e-09,8.685e-10,0.450,0.124
403463904.194371,403463905.214299,403463830.510998,1.509885,3.802e-08,2.455e-09,0.401,0.057
403463907.294091,403463908.334017,403463871.44733405,1.679869,6.626e-09,8.685e-10,0.736,0.194
403463923.542618,403463924.462554,403463893.32536304,0.759951,2.054e-08,1.742e-09,0.512,0.092
403463938.193457,403463938.340091,403463899.924767,0.097651,1.436e-09,3.966e-10,0.437,0.264
403463954.59979,403463959.569356,403463904.33436906,1.019928,9.854e-09,1.094e-09,0.831,0.186
403463974.91032,403463975.027326,403463907.38409305,1.039926,1.017e-08,1.124e-09,0.805,0.179
403463985.896924,403463987.086834,403463923.8026041,0.919936,1.581e-08,1.391e-09,0.794,0.141
403464003.301717,403464003.757415,403463938.231292,0.146634,2.962e-09,5.823e-10,0.532,0.218
403464011.594559,403464012.734474,403463954.769784,4.969566,4.407e-08,2.324e-09,0.575,0.063
403464014.682136,403464014.985675,403463974.917941,0.117006,8.584e-10,3.012e-10,0.977,0.691
403464017.413591,403464017.498934,403463986.37689006,1.189911,1.625e-07,8.429e-09,0.520,0.057
403464030.175977,403464031.06904,403464003.375327,0.455698,1.877e-09,4.568e-10,0.408,0.216
403464036.552253,403464037.042228,403464012.68446803,1.139915,7.741e-09,9.538e-10,0.932,0.230
403464042.611691,403464043.001675,403464014.84426904,0.303538,3.941e-09,6.677e-10,0.513,0.183
403464062.328784,403464062.372352,403464017.43403006,0.085343,1.461e-09,4.066e-10,0.420,0.252
403464070.147649,403464070.476641,403464030.4928241,0.893064,1.948e-09,4.618e-10,0.617,0.298
403464088.127459,403464090.68724,403464036.70224905,0.489975,1.866e-08,1.571e-09,0.275,0.056
